rownums,date,DOY,site,analysis,count
301,7/31/2017,212,Bells,FIELD Dissolved Oxygen,11.73
302,7/31/2017,212,Bells,FIELD Secchi,NA
303,7/31/2017,212,Bells,FIELD pH,9.72
304,7/31/2017,212,Bells,FIELD Conductivity,280
305,8/14/2017,226,ODNR 4,FIELD Air Temperature,22
306,8/14/2017,226,ODNR 4,FIELD Water Temperature,23.63
307,8/14/2017,226,ODNR 4,FIELD Dissolved Oxygen,10.13
308,8/14/2017,226,ODNR 4,FIELD Secchi,33
309,8/14/2017,226,ODNR 4,FIELD pH,10.37
310,8/14/2017,226,ODNR 4,FIELD Conductivity,300
311,8/14/2017,226,ODNR 6,FIELD Air Temperature,24
312,8/14/2017,226,ODNR 6,FIELD Water Temperature,23.47
313,8/14/2017,226,ODNR 6,FIELD Dissolved Oxygen,13.3
314,8/14/2017,226,ODNR 6,FIELD Secchi,43
315,8/14/2017,226,ODNR 6,FIELD pH,10.8
316,8/14/2017,226,ODNR 6,FIELD Conductivity,270
317,8/14/2017,226,Bridge,FIELD Air Temperature,25
318,8/14/2017,226,Bridge,FIELD Water Temperature,23.88
319,8/14/2017,226,Bridge,FIELD Dissolved Oxygen,13.5
320,8/14/2017,226,Bridge,FIELD Secchi,38
321,8/14/2017,226,Bridge,FIELD pH,10.58
322,8/14/2017,226,Bridge,FIELD Conductivity,290
323,8/14/2017,226,ODNR 2,FIELD Air Temperature,26
324,8/14/2017,226,ODNR 2,FIELD Water Temperature,23.66
325,8/14/2017,226,ODNR 2,FIELD Dissolved Oxygen,13.69
326,8/14/2017,226,ODNR 2,FIELD Secchi,54
327,8/14/2017,226,ODNR 2,FIELD pH,10.74
328,8/14/2017,226,ODNR 2,FIELD Conductivity,280
329,8/14/2017,226,Buoy 2,FIELD Air Temperature,26
330,8/14/2017,226,Buoy 2,FIELD Water Temperature,24.48
331,8/14/2017,226,Buoy 2,FIELD Dissolved Oxygen,16.22
332,8/14/2017,226,Buoy 2,FIELD Secchi,60
333,8/14/2017,226,Buoy 2,FIELD pH,10.68
334,8/14/2017,226,Buoy 2,FIELD Conductivity,270
335,8/14/2017,226,ODNR 1,FIELD Air Temperature,27
336,8/14/2017,226,ODNR 1,FIELD Water Temperature,24.2
337,8/14/2017,226,ODNR 1,FIELD Dissolved Oxygen,16.46
338,8/14/2017,226,ODNR 1,FIELD Secchi,57
339,8/14/2017,226,ODNR 1,FIELD pH,10.69
340,8/14/2017,226,ODNR 1,FIELD Conductivity,270
341,8/14/2017,226,EC 1163,FIELD Air Temperature,27
342,8/14/2017,226,EC 1163,FIELD Water Temperature,24.44
343,8/14/2017,226,EC 1163,FIELD Dissolved Oxygen,14.57
344,8/14/2017,226,EC 1163,FIELD Secchi,60
345,8/14/2017,226,EC 1163,FIELD pH,10.42
346,8/14/2017,226,EC 1163,FIELD Conductivity,270
347,8/14/2017,226,Bells,FIELD Air Temperature,27
348,8/14/2017,226,Bells,FIELD Water Temperature,24.42
349,8/14/2017,226,Bells,FIELD Dissolved Oxygen,11.42
350,8/14/2017,226,Bells,FIELD Secchi,81
351,8/14/2017,226,Bells,FIELD pH,10
352,8/14/2017,226,Bells,FIELD Conductivity,280
353,8/28/2017,240,ODNR 4,FIELD Air Temperature,20
354,8/28/2017,240,ODNR 4,FIELD Water Temperature,22.26
355,8/28/2017,240,ODNR 4,FIELD Dissolved Oxygen,10.74
356,8/28/2017,240,ODNR 4,FIELD Secchi,29
357,8/28/2017,240,ODNR 4,FIELD pH,10.67
358,8/28/2017,240,ODNR 4,FIELD Conductivity,340
359,8/28/2017,240,ODNR 6,FIELD Air Temperature,22.2
360,8/28/2017,240,ODNR 6,FIELD Water Temperature,22.19
361,8/28/2017,240,ODNR 6,FIELD Dissolved Oxygen,11.98
362,8/28/2017,240,ODNR 6,FIELD Secchi,33
363,8/28/2017,240,ODNR 6,FIELD pH,10.96
364,8/28/2017,240,ODNR 6,FIELD Conductivity,300
365,8/28/2017,240,Bridge,FIELD Air Temperature,22.8
366,8/28/2017,240,Bridge,FIELD Water Temperature,22.42
367,8/28/2017,240,Bridge,FIELD Dissolved Oxygen,10.76
368,8/28/2017,240,Bridge,FIELD Secchi,32
369,8/28/2017,240,Bridge,FIELD pH,10.72
370,8/28/2017,240,Bridge,FIELD Conductivity,310
371,8/28/2017,240,ODNR 2,FIELD Air Temperature,22.8
372,8/28/2017,240,ODNR 2,FIELD Water Temperature,22.65
373,8/28/2017,240,ODNR 2,FIELD Dissolved Oxygen,12.7
374,8/28/2017,240,ODNR 2,FIELD Secchi,37
375,8/28/2017,240,ODNR 2,FIELD pH,10.99
376,8/28/2017,240,ODNR 2,FIELD Conductivity,290
377,8/28/2017,240,Buoy 2,FIELD Air Temperature,22.2
378,8/28/2017,240,Buoy 2,FIELD Water Temperature,22.44
379,8/28/2017,240,Buoy 2,FIELD Dissolved Oxygen,11.34
380,8/28/2017,240,Buoy 2,FIELD Secchi,36
381,8/28/2017,240,Buoy 2,FIELD pH,10.57
382,8/28/2017,240,Buoy 2,FIELD Conductivity,280
383,8/28/2017,240,ODNR 1,FIELD Air Temperature,22.2
384,8/28/2017,240,ODNR 1,FIELD Water Temperature,22.39
385,8/28/2017,240,ODNR 1,FIELD Dissolved Oxygen,11.44
386,8/28/2017,240,ODNR 1,FIELD Secchi,66
387,8/28/2017,240,ODNR 1,FIELD pH,10.46
388,8/28/2017,240,ODNR 1,FIELD Conductivity,290
389,8/28/2017,240,EC 1163,FIELD Air Temperature,22.2
390,8/28/2017,240,EC 1163,FIELD Water Temperature,22.56
391,8/28/2017,240,EC 1163,FIELD Dissolved Oxygen,10.66
392,8/28/2017,240,EC 1163,FIELD Secchi,67
393,8/28/2017,240,EC 1163,FIELD pH,10.25
394,8/28/2017,240,EC 1163,FIELD Conductivity,280
395,8/28/2017,240,Bells,FIELD Air Temperature,21.1
396,8/28/2017,240,Bells,FIELD Water Temperature,23.06
397,8/28/2017,240,Bells,FIELD Dissolved Oxygen,11.47
398,8/28/2017,240,Bells,FIELD Secchi,133
399,8/28/2017,240,Bells,FIELD pH,10.26
400,8/28/2017,240,Bells,FIELD Conductivity,270
401,6/8/2017,159,ODNR 4,LIGHT DEPTH 0.5,6.155608073
402,6/8/2017,159,ODNR 4,LIGHT DEPTH 1,5.289173121
403,6/8/2017,159,ODNR 4,LIGHT DEPTH 1.5,5.044293604
404,6/8/2017,159,ODNR 6,LIGHT DEPTH 0.5,4.88091508
405,6/8/2017,159,ODNR 6,LIGHT DEPTH 1,4.687207846
406,6/8/2017,159,ODNR 6,LIGHT DEPTH 1.5,4.472503606
407,6/8/2017,159,ODNR 6,LIGHT DEPTH 2,4.505670251
408,6/8/2017,159,ODNR 2,LIGHT DEPTH 0.5,3.986996386
409,6/8/2017,159,ODNR 2,LIGHT DEPTH 1,4.40757879
410,6/8/2017,159,ODNR 2,LIGHT DEPTH 1.5,4.45656405
411,6/8/2017,159,ODNR 2,LIGHT DEPTH 2,4.382143808
412,6/8/2017,159,ODNR 1,LIGHT DEPTH 0.5,3.93216899
413,6/8/2017,159,ODNR 1,LIGHT DEPTH 1,3.870605596
414,6/8/2017,159,ODNR 1,LIGHT DEPTH 1.5,3.928451404
415,6/8/2017,159,ODNR 1,LIGHT DEPTH 2,3.845828411
416,6/8/2017,159,EC 1163,LIGHT DEPTH 0.5,4.124960048
417,6/8/2017,159,EC 1163,LIGHT DEPTH 1,3.407074813
418,6/8/2017,159,EC 1163,LIGHT DEPTH 1.5,3.293034456
419,6/8/2017,159,EC 1163,LIGHT DEPTH 2,3.208826797
420,6/8/2017,159,EC 1163,LIGHT DEPTH 2.5,3.111452059
421,6/8/2017,159,EC 1163,LIGHT DEPTH 3,3.12935602
422,6/19/2017,170,ODNR 4,LIGHT DEPTH 0.5,8.044094655
423,6/19/2017,170,ODNR 4,LIGHT DEPTH 1,7.342275647
424,6/19/2017,170,ODNR 4,LIGHT DEPTH 1.5,6.970527304
425,6/19/2017,170,ODNR 6,LIGHT DEPTH 0.5,7.826982869
426,6/19/2017,170,ODNR 6,LIGHT DEPTH 1,7.465904791
427,6/19/2017,170,ODNR 2,LIGHT DEPTH 0.5,3.947936204
428,6/19/2017,170,ODNR 2,LIGHT DEPTH 1,4.58892788
429,6/19/2017,170,ODNR 2,LIGHT DEPTH 1.5,4.308919377
430,6/19/2017,170,ODNR 2,LIGHT DEPTH 2,4.457192082
431,6/19/2017,170,ODNR 1,LIGHT DEPTH 0.5,6.05457252
432,6/19/2017,170,ODNR 1,LIGHT DEPTH 1,6.529473718
433,6/19/2017,170,ODNR 1,LIGHT DEPTH 1.5,6.148398846
434,6/19/2017,170,EC 1163,LIGHT DEPTH 0.5,3.94111006
435,6/19/2017,170,EC 1163,LIGHT DEPTH 1,4.135763394
436,6/19/2017,170,EC 1163,LIGHT DEPTH 1.5,3.984830865
437,6/19/2017,170,EC 1163,LIGHT DEPTH 2,3.927474099
438,6/19/2017,170,EC 1163,LIGHT DEPTH 2.5,4.005772979
439,6/19/2017,170,Buoy 2,LIGHT DEPTH 0.5,3.396179381
440,6/19/2017,170,Buoy 2,LIGHT DEPTH 1,4.541557721
441,6/19/2017,170,Buoy 2,LIGHT DEPTH 1.5,3.991311513
442,6/19/2017,170,Buoy 2,LIGHT DEPTH 2,3.649576829
